Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:57:33.573463,12:57:36.134404,-1,-1.0
1,12:57:33.573463,12:57:36.224373,-1,-1.0
1,12:57:33.573463,12:57:36.323031,-1,-1.0
1,12:57:33.573463,12:57:36.421834,-1,-1.0
1,12:57:33.573463,12:57:36.522842,-1,-1.0
1,12:57:33.573463,12:57:36.623232,-1,-1.0
1,12:57:33.573463,12:57:36.742932,-1,-1.0
1,12:57:33.573463,12:57:36.808085,-1,-1.0
1,12:57:33.573463,12:57:36.935639,-1,-1.0
1,12:57:33.573463,12:57:37.022048,-1,-1.0
1,12:57:33.573463,12:57:37.120942,-1,-1.0
1,12:57:33.573463,12:57:37.220668,-1,-1.0
1,12:57:33.573463,12:57:37.339534,-1,-1.0
1,12:57:33.573463,12:57:37.423040,-1,-1.0
1,12:57:33.573463,12:57:37.521660,-1,-1.0
1,12:57:33.573463,12:57:37.645833,-1,-1.0
1,12:57:33.573463,12:57:37.721853,-1,-1.0
1,12:57:33.573463,12:57:37.817981,-1,-1.0
1,12:57:33.573463,12:57:37.916482,-1,-1.0
1,12:57:33.573463,12:57:38.016082,-1,-1.0
1,12:57:33.573463,12:57:38.115886,-1,-1.0
1,12:57:33.573463,12:57:38.255204,-1,-1.0
1,12:57:33.573463,12:57:38.347040,-1,-1.0
1,12:57:33.573463,12:57:38.429693,-1,-1.0
1,12:57:33.573463,12:57:38.543076,-1,-1.0
1,12:57:33.573463,12:57:38.635255,-1,-1.0
1,12:57:33.573463,12:57:38.723244,-1,-1.0
1,12:57:33.573463,12:57:38.830492,-1,-1.0
1,12:57:33.573463,12:57:38.929468,-1,-1.0
1,12:57:33.573463,12:57:39.021338,-1,-1.0
1,12:57:33.573463,12:57:39.117019,-1,-1.0
1,12:57:33.573463,12:57:39.219676,-1,-1.0
1,12:57:33.573463,12:57:39.332791,-1,-1.0
1,12:57:33.573463,12:57:39.425294,-1,-1.0
1,12:57:33.573463,12:57:39.519027,-1,-1.0
1,12:57:33.573463,12:57:39.613391,-1,-1.0
1,12:57:33.573463,12:57:39.714690,-1,-1.0
1,12:57:33.573463,12:57:39.817773,-1,-1.0
1,12:57:33.573463,12:57:39.914521,-1,-1.0
1,12:57:33.573463,12:57:40.017509,-1,-1.0
1,12:57:33.573463,12:57:40.113269,-1,-1.0
1,12:57:33.573463,12:57:40.213752,-1,-1.0
1,12:57:33.573463,12:57:40.314044,-1,-1.0
1,12:57:33.573463,12:57:40.412724,-1,-1.0
1,12:57:33.573463,12:57:40.511349,-1,-1.0
1,12:57:33.573463,12:57:40.609756,-1,-1.0
1,12:57:33.573463,12:57:40.737925,-1,-1.0
1,12:57:33.573463,12:57:40.816440,-1,-1.0
1,12:57:33.573463,12:57:40.905054,-1,-1.0
1,12:57:33.573463,12:57:41.003427,-1,-1.0
1,12:57:33.573463,12:57:41.103693,-1,-1.0
1,12:57:33.573463,12:57:41.202906,-1,-1.0
1,12:57:33.573463,12:57:41.304476,-1,-1.0
