Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,13:01:36.258328,13:01:37.812543,1,-1.0
1,13:01:36.258328,13:01:37.908242,1,-1.0
1,13:01:36.258328,13:01:38.008085,1,-1.0
1,13:01:36.258328,13:01:38.107731,1,-1.0
1,13:01:36.258328,13:01:38.213122,1,-1.0
1,13:01:36.258328,13:01:38.307317,1,-1.0
1,13:01:36.258328,13:01:38.407021,1,-1.0
1,13:01:36.258328,13:01:38.506825,1,-1.0
1,13:01:36.258328,13:01:38.610562,1,-1.0
1,13:01:36.258328,13:01:38.707108,1,-1.0
1,13:01:36.258328,13:01:38.823368,1,-1.0
1,13:01:36.258328,13:01:38.904741,1,-1.0
1,13:01:36.258328,13:01:39.004479,1,-1.0
1,13:01:36.258328,13:01:39.104176,1,-1.0
1,13:01:36.258328,13:01:39.202994,1,-1.0
1,13:01:36.258328,13:01:39.303692,1,-1.0
1,13:01:36.258328,13:01:39.403339,1,-1.0
1,13:01:36.258328,13:01:39.503033,1,-1.0
1,13:01:36.258328,13:01:39.602905,1,-1.0
1,13:01:36.258328,13:01:39.704831,1,-1.0
1,13:01:36.258328,13:01:39.803008,1,-1.0
1,13:01:36.258328,13:01:39.902965,1,-1.0
1,13:01:36.258328,13:01:40.007203,1,-1.0
1,13:01:36.258328,13:01:40.105078,1,-1.0
1,13:01:36.258328,13:01:40.202667,1,-1.0
1,13:01:36.258328,13:01:40.302959,1,-1.0
1,13:01:36.258328,13:01:40.399938,1,-1.0
1,13:01:36.258328,13:01:40.498989,1,-1.0
1,13:01:36.258328,13:01:40.598715,1,-1.0
1,13:01:36.258328,13:01:40.713107,1,-1.0
1,13:01:36.258328,13:01:40.799921,1,-1.0
1,13:01:36.258328,13:01:40.899152,1,-1.0
1,13:01:36.258328,13:01:41.000836,1,-1.0
1,13:01:36.258328,13:01:41.100297,1,-1.0
1,13:01:36.258328,13:01:41.198874,1,-1.0
1,13:01:36.258328,13:01:41.299011,1,-1.0
1,13:01:36.258328,13:01:41.399500,1,-1.0
1,13:01:36.258328,13:01:41.498917,1,-1.0
1,13:01:36.258328,13:01:41.618313,1,-1.0
1,13:01:36.258328,13:01:41.700377,1,-1.0
1,13:01:36.258328,13:01:41.801433,1,-1.0
1,13:01:36.258328,13:01:41.895157,1,-1.0
1,13:01:36.258328,13:01:41.995718,1,-1.0
1,13:01:36.258328,13:01:42.095252,1,-1.0
1,13:01:36.258328,13:01:42.193872,-1,-1.0
1,13:01:36.258328,13:01:42.307547,-1,-1.0
1,13:01:36.258328,13:01:42.405976,-1,-1.0
1,13:01:36.258328,13:01:42.494726,-1,-1.0
1,13:01:36.258328,13:01:42.594416,-1,-1.0
1,13:01:36.258328,13:01:42.695150,-1,-1.0
1,13:01:36.258328,13:01:42.794185,-1,-1.0
1,13:01:36.258328,13:01:42.894653,-1,-1.0
1,13:01:36.258328,13:01:43.017099,-1,-1.0
1,13:01:36.258328,13:01:43.098267,-1,-1.0
1,13:01:36.258328,13:01:43.194703,-1,-1.0
1,13:01:36.258328,13:01:43.294695,-1,-1.0
1,13:01:36.258328,13:01:43.395662,-1,-1.0
1,13:01:36.258328,13:01:43.490399,-1,-1.0
1,13:01:36.258328,13:01:43.590473,1,-1.0
1,13:01:36.258328,13:01:43.690903,1,-1.0
1,13:01:36.258328,13:01:43.790661,1,-1.0
1,13:01:36.258328,13:01:43.890778,1,-1.0
1,13:01:36.258328,13:01:43.990724,1,-1.0
1,13:01:36.258328,13:01:44.091783,1,-1.0
1,13:01:36.258328,13:01:44.190351,1,-1.0
1,13:01:36.258328,13:01:44.293018,-1,-1.0
1,13:01:36.258328,13:01:44.391120,-1,-1.0
1,13:01:36.258328,13:01:44.491122,-1,-1.0
1,13:01:36.258328,13:01:44.590031,-1,-1.0
1,13:01:36.258328,13:01:44.692569,-1,-1.0
1,13:01:36.258328,13:01:44.790064,-1,-1.0
1,13:01:36.258328,13:01:44.891113,1,-1.0
1,13:01:36.258328,13:01:44.988547,1,-1.0
1,13:01:36.258328,13:01:45.087844,1,-1.0
1,13:01:36.258328,13:01:45.188921,1,-1.0
1,13:01:36.258328,13:01:45.287190,1,-1.0
1,13:01:36.258328,13:01:45.387280,1,-1.0
1,13:01:36.258328,13:01:45.487775,-1,-1.0
1,13:01:36.258328,13:01:45.585822,-1,-1.0
1,13:01:36.258328,13:01:45.687542,-1,-1.0
1,13:01:36.258328,13:01:45.787836,-1,-1.0
1,13:01:36.258328,13:01:45.887487,-1,-1.0
1,13:01:36.258328,13:01:45.986713,-1,-1.0
1,13:01:36.258328,13:01:46.087682,1,-1.0
1,13:01:36.258328,13:01:46.187084,1,-1.0
1,13:01:36.258328,13:01:46.287017,1,-1.0
1,13:01:36.258328,13:01:46.388051,1,-1.0
1,13:01:36.258328,13:01:46.487378,1,-1.0
1,13:01:36.258328,13:01:46.582670,1,-1.0
1,13:01:36.258328,13:01:46.683615,1,-1.0
1,13:01:36.258328,13:01:46.782899,1,-1.0
1,13:01:36.258328,13:01:46.883258,1,-1.0
1,13:01:36.258328,13:01:46.983979,1,-1.0
1,13:01:36.258328,13:01:47.082629,1,-1.0
1,13:01:36.258328,13:01:47.184030,1,-1.0
1,13:01:36.258328,13:01:47.282030,1,-1.0
1,13:01:36.258328,13:01:47.404827,1,-1.0
1,13:01:36.258328,13:01:47.483755,1,-1.0
1,13:01:36.258328,13:01:47.582912,1,-1.0
1,13:01:36.258328,13:01:47.682974,1,-1.0
1,13:01:36.258328,13:01:47.783747,1,-1.0
1,13:01:36.258328,13:01:47.885901,1,-1.0
1,13:01:36.258328,13:01:47.983507,1,-1.0
1,13:01:36.258328,13:01:48.080063,1,-1.0
1,13:01:36.258328,13:01:48.178398,1,-1.0
1,13:01:36.258328,13:01:48.278548,1,-1.0
1,13:01:36.258328,13:01:48.378546,1,-1.0
1,13:01:36.258328,13:01:48.498657,1,-1.0
1,13:01:36.258328,13:01:48.551147,-1,-1.0
1,13:01:36.258328,13:01:48.701550,-1,-1.0
1,13:01:36.258328,13:01:48.788240,-1,-1.0
1,13:01:36.258328,13:01:48.878946,-1,-1.0
1,13:01:36.258328,13:01:48.978532,-1,-1.0
1,13:01:36.258328,13:01:49.077753,-1,-1.0
1,13:01:36.258328,13:01:49.196368,-1,-1.0
1,13:01:36.258328,13:01:49.279296,-1,-1.0
1,13:01:36.258328,13:01:49.399976,-1,-1.0
1,13:01:36.258328,13:01:49.480256,-1,-1.0
1,13:01:36.258328,13:01:49.578171,-1,-1.0
1,13:01:36.258328,13:01:49.676256,-1,-1.0
1,13:01:36.258328,13:01:49.773959,-1,-1.0
1,13:01:36.258328,13:01:49.877163,-1,-1.0
1,13:01:36.258328,13:01:49.974306,1,-1.0
1,13:01:36.258328,13:01:50.073436,1,-1.0
1,13:01:36.258328,13:01:50.173696,1,-1.0
1,13:01:36.258328,13:01:50.275755,1,-1.0
1,13:01:36.258328,13:01:50.374132,1,-1.0
1,13:01:36.258328,13:01:50.473795,-1,-1.0
1,13:01:36.258328,13:01:50.591768,-1,-1.0
1,13:01:36.258328,13:01:50.675118,-1,-1.0
1,13:01:36.258328,13:01:50.782614,1,-1.0
1,13:01:36.258328,13:01:50.875417,1,-1.0
1,13:01:36.258328,13:01:50.990224,1,-1.0
1,13:01:36.258328,13:01:51.074563,1,-1.0
1,13:01:36.258328,13:01:51.173468,1,-1.0
1,13:01:36.258328,13:01:51.271129,-1,-1.0
1,13:01:36.258328,13:01:51.370837,-1,-1.0
1,13:01:36.258328,13:01:51.480724,-1,-1.0
1,13:01:36.258328,13:01:51.570494,-1,-1.0
1,13:01:36.258328,13:01:51.688205,-1,-1.0
1,13:01:36.258328,13:01:51.772637,-1,-1.0
1,13:01:36.258328,13:01:51.891187,-1,-1.0
1,13:01:36.258328,13:01:51.972523,1,-1.0
1,13:01:36.258328,13:01:52.070741,1,-1.0
1,13:01:36.258328,13:01:52.170208,1,-1.0
1,13:01:36.258328,13:01:52.272540,1,-1.0
1,13:01:36.258328,13:01:52.371579,1,-1.0
1,13:01:36.258328,13:01:52.491233,1,-1.0
1,13:01:36.258328,13:01:52.571513,1,-1.0
1,13:01:36.258328,13:01:52.671316,1,-1.0
1,13:01:36.258328,13:01:52.765908,1,-1.0
1,13:01:36.258328,13:01:52.882693,1,-1.0
1,13:01:36.258328,13:01:52.969000,1,-1.0
1,13:01:36.258328,13:01:53.066924,1,-1.0
1,13:01:36.258328,13:01:53.182602,1,-1.0
1,13:01:36.258328,13:01:53.267342,1,-1.0
1,13:01:36.258328,13:01:53.366186,1,-1.0
1,13:01:36.258328,13:01:53.466134,1,-1.0
1,13:01:36.258328,13:01:53.566107,1,-1.0
1,13:01:36.258328,13:01:53.667392,1,-1.0
1,13:01:36.258328,13:01:53.789689,1,-1.0
1,13:01:36.258328,13:01:53.867487,1,-1.0
1,13:01:36.258328,13:01:53.966474,1,-1.0
1,13:01:36.258328,13:01:54.082879,1,-1.0
1,13:01:36.258328,13:01:54.167298,1,-1.0
1,13:01:36.258328,13:01:54.266079,1,-1.0
1,13:01:36.258328,13:01:54.362001,1,-1.0
1,13:01:36.258328,13:01:54.460845,1,-1.0
1,13:01:36.258328,13:01:54.560982,1,-1.0
1,13:01:36.258328,13:01:54.664144,1,-1.0
1,13:01:36.258328,13:01:54.762754,1,-1.0
1,13:01:36.258328,13:01:54.861476,1,-1.0
1,13:01:36.258328,13:01:54.961713,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,13:01:54.963779,13:01:55.066795,1,-1.0
2,13:01:54.963779,13:01:55.163044,1,-1.0
2,13:01:54.963779,13:01:55.261755,1,-1.0
2,13:01:54.963779,13:01:55.360837,1,-1.0
2,13:01:54.963779,13:01:55.460831,1,-1.0
2,13:01:54.963779,13:01:55.560870,1,-1.0
2,13:01:54.963779,13:01:55.663345,1,-1.0
