Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,13:00:29.477447,13:00:30.744060,1,-1.0
1,13:00:29.477447,13:00:30.830591,1,-1.0
1,13:00:29.477447,13:00:30.925403,1,-1.0
1,13:00:29.477447,13:00:31.025729,1,-1.0
1,13:00:29.477447,13:00:31.126519,1,-1.0
1,13:00:29.477447,13:00:31.225091,1,-1.0
1,13:00:29.477447,13:00:31.325531,1,-1.0
1,13:00:29.477447,13:00:31.425451,1,-1.0
1,13:00:29.477447,13:00:31.525980,1,-1.0
1,13:00:29.477447,13:00:31.626014,1,-1.0
1,13:00:29.477447,13:00:31.741799,1,-1.0
1,13:00:29.477447,13:00:31.827195,1,-1.0
1,13:00:29.477447,13:00:31.925737,1,-1.0
1,13:00:29.477447,13:00:32.026474,1,-1.0
1,13:00:29.477447,13:00:32.125277,1,-1.0
1,13:00:29.477447,13:00:32.243216,1,-1.0
1,13:00:29.477447,13:00:32.322671,1,-1.0
1,13:00:29.477447,13:00:32.421103,1,-1.0
1,13:00:29.477447,13:00:32.546522,1,-1.0
1,13:00:29.477447,13:00:32.623681,1,-1.0
1,13:00:29.477447,13:00:32.721804,1,-1.0
1,13:00:29.477447,13:00:32.839520,1,-1.0
1,13:00:29.477447,13:00:32.925302,1,-1.0
1,13:00:29.477447,13:00:33.022022,1,-1.0
1,13:00:29.477447,13:00:33.121643,1,-1.0
1,13:00:29.477447,13:00:33.242911,1,-1.0
1,13:00:29.477447,13:00:33.322610,1,-1.0
1,13:00:29.477447,13:00:33.420959,1,-1.0
1,13:00:29.477447,13:00:33.521031,1,-1.0
1,13:00:29.477447,13:00:33.621464,1,-1.0
1,13:00:29.477447,13:00:33.717751,1,-1.0
1,13:00:29.477447,13:00:33.818196,1,-1.0
1,13:00:29.477447,13:00:33.920703,1,-1.0
1,13:00:29.477447,13:00:34.017304,1,-1.0
1,13:00:29.477447,13:00:34.120110,1,-1.0
1,13:00:29.477447,13:00:34.217227,1,-1.0
1,13:00:29.477447,13:00:34.322879,1,-1.0
1,13:00:29.477447,13:00:34.416865,1,-1.0
1,13:00:29.477447,13:00:34.517363,1,-1.0
1,13:00:29.477447,13:00:34.632575,1,-1.0
1,13:00:29.477447,13:00:34.718757,-1,-1.0
1,13:00:29.477447,13:00:34.817593,1,-1.0
1,13:00:29.477447,13:00:34.917477,1,-1.0
1,13:00:29.477447,13:00:35.017248,1,-1.0
1,13:00:29.477447,13:00:35.117229,-1,-1.0
1,13:00:29.477447,13:00:35.217013,-1,-1.0
1,13:00:29.477447,13:00:35.313073,-1,-1.0
1,13:00:29.477447,13:00:35.412817,-1,-1.0
1,13:00:29.477447,13:00:35.513013,-1,-1.0
1,13:00:29.477447,13:00:35.613590,-1,-1.0
1,13:00:29.477447,13:00:35.713223,-1,-1.0
1,13:00:29.477447,13:00:35.814489,-1,-1.0
1,13:00:29.477447,13:00:36.613975,-1,-1.0
1,13:00:29.477447,13:00:36.737130,-1,-1.0
1,13:00:29.477447,13:00:36.813792,-1,-1.0
1,13:00:29.477447,13:00:36.910268,-1,-1.0
1,13:00:29.477447,13:00:37.009938,-1,-1.0
1,13:00:29.477447,13:00:37.109386,-1,-1.0
1,13:00:29.477447,13:00:37.209487,-1,-1.0
1,13:00:29.477447,13:00:37.311329,-1,-1.0
1,13:00:29.477447,13:00:37.408607,-1,-1.0
1,13:00:29.477447,13:00:37.508953,-1,-1.0
1,13:00:29.477447,13:00:37.609567,-1,-1.0
1,13:00:29.477447,13:00:37.720111,-1,-1.0
1,13:00:29.477447,13:00:37.810600,1,-1.0
1,13:00:29.477447,13:00:37.912394,1,-1.0
1,13:00:29.477447,13:00:38.025091,1,-1.0
1,13:00:29.477447,13:00:38.114763,1,-1.0
1,13:00:29.477447,13:00:38.209186,1,-1.0
1,13:00:29.477447,13:00:38.333006,1,-1.0
1,13:00:29.477447,13:00:38.408526,1,-1.0
1,13:00:29.477447,13:00:38.505018,-1,-1.0
1,13:00:29.477447,13:00:40.301454,-1,-1.0
1,13:00:29.477447,13:00:40.400630,-1,-1.0
1,13:00:29.477447,13:00:40.526243,-1,-1.0
1,13:00:29.477447,13:00:40.602936,-1,-1.0
1,13:00:29.477447,13:00:40.714346,-1,-1.0
1,13:00:29.477447,13:00:40.801670,-1,-1.0
1,13:00:29.477447,13:00:40.900807,-1,-1.0
1,13:00:29.477447,13:00:41.000446,-1,-1.0
