Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:47:46.389988,12:47:51.145883,-1,-1.0
1,12:47:46.389988,12:47:51.267024,-1,-1.0
1,12:47:46.389988,12:47:51.345087,-1,-1.0
1,12:47:46.389988,12:47:51.441087,-1,-1.0
1,12:47:46.389988,12:47:51.541750,-1,-1.0
1,12:47:46.389988,12:47:51.640661,-1,-1.0
1,12:47:46.389988,12:47:51.741189,-1,-1.0
1,12:47:46.389988,12:47:51.841137,-1,-1.0
1,12:47:46.389988,12:47:51.940827,-1,-1.0
1,12:47:46.389988,12:47:52.062245,-1,-1.0
1,12:47:46.389988,12:47:52.138417,-1,-1.0
1,12:47:46.389988,12:47:52.238145,-1,-1.0
1,12:47:46.389988,12:47:52.337595,-1,-1.0
1,12:47:46.389988,12:47:52.437813,-1,-1.0
1,12:47:46.389988,12:47:52.538501,-1,-1.0
1,12:47:46.389988,12:47:52.637615,-1,-1.0
1,12:47:46.389988,12:47:52.741813,-1,-1.0
1,12:47:46.389988,12:47:52.838073,-1,-1.0
1,12:47:46.389988,12:47:52.938103,-1,-1.0
1,12:47:46.389988,12:47:53.039057,-1,-1.0
1,12:47:46.389988,12:47:53.138615,-1,-1.0
1,12:47:46.389988,12:47:53.238945,-1,-1.0
1,12:47:46.389988,12:47:53.339775,-1,-1.0
1,12:47:46.389988,12:47:53.438629,-1,-1.0
1,12:47:46.389988,12:47:53.538859,-1,-1.0
1,12:47:46.389988,12:47:53.658966,-1,-1.0
1,12:47:46.389988,12:47:53.742751,-1,-1.0
1,12:47:46.389988,12:47:53.834645,-1,-1.0
1,12:47:46.389988,12:47:53.934873,-1,-1.0
1,12:47:46.389988,12:47:54.034495,-1,-1.0
1,12:47:46.389988,12:47:54.134795,-1,-1.0
1,12:47:46.389988,12:47:54.236718,-1,-1.0
1,12:47:46.389988,12:47:54.352184,-1,-1.0
1,12:47:46.389988,12:47:54.436646,-1,-1.0
1,12:47:46.389988,12:47:54.534983,-1,-1.0
1,12:47:46.389988,12:47:54.637884,-1,-1.0
1,12:47:46.389988,12:47:54.735179,-1,-1.0
1,12:47:46.389988,12:47:54.835764,-1,-1.0
1,12:47:46.389988,12:47:54.935037,-1,-1.0
1,12:47:46.389988,12:47:55.036512,-1,-1.0
1,12:47:46.389988,12:47:55.135407,-1,-1.0
1,12:47:46.389988,12:47:55.231832,-1,-1.0
1,12:47:46.389988,12:47:55.332453,-1,-1.0
1,12:47:46.389988,12:47:55.432269,-1,-1.0
1,12:47:46.389988,12:47:55.531903,-1,-1.0
1,12:47:46.389988,12:47:55.632032,-1,-1.0
1,12:47:46.389988,12:47:55.732586,-1,-1.0
1,12:47:46.389988,12:47:55.847493,-1,-1.0
1,12:47:46.389988,12:47:55.931840,-1,-1.0
1,12:47:46.389988,12:47:56.035815,-1,-1.0
1,12:47:46.389988,12:47:56.150980,-1,-1.0
1,12:47:46.389988,12:47:56.252038,-1,-1.0
1,12:47:46.389988,12:47:56.334863,-1,-1.0
1,12:47:46.389988,12:47:56.432625,-1,-1.0
1,12:47:46.389988,12:47:56.532854,-1,-1.0
