Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:03:22.366313,14:03:24.750030,1,1.0
1,14:03:22.366313,14:03:25.044966,1,1.0
1,14:03:22.366313,14:03:25.346209,1,1.0
1,14:03:22.366313,14:03:25.648185,1,1.0
1,14:03:22.366313,14:03:25.947191,1,1.0
1,14:03:22.366313,14:03:26.245343,1,1.0
1,14:03:22.366313,14:03:26.543228,1,1.0
1,14:03:22.366313,14:03:26.842044,-1,1.0
1,14:03:22.366313,14:03:27.145560,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,14:03:27.146793,14:03:27.444441,-1,1.0
2,14:03:27.146793,14:03:27.742268,-1,1.0
2,14:03:27.146793,14:03:28.047317,1,1.0
2,14:03:27.146793,14:03:28.345639,1,1.0
2,14:03:27.146793,14:03:28.643978,1,1.0
2,14:03:27.146793,14:03:29.244472,-1,1.0
2,14:03:27.146793,14:03:29.544273,-1,1.0
2,14:03:27.146793,14:03:29.842626,-1,1.0
2,14:03:27.146793,14:03:32.141617,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,14:03:32.142818,14:03:34.442090,1,1.0
3,14:03:32.142818,14:03:34.741917,1,1.0
3,14:03:32.142818,14:03:35.039087,1,1.0
3,14:03:32.142818,14:03:35.343398,1,1.0
3,14:03:32.142818,14:03:35.641209,1,1.0
3,14:03:32.142818,14:03:35.940720,1,1.0
3,14:03:32.142818,14:03:36.309321,-1,1.0
3,14:03:32.142818,14:03:36.607039,-1,1.0
3,14:03:32.142818,14:03:38.905420,1,1.0
3,14:03:32.142818,14:03:39.204685,1,1.0
3,14:03:32.142818,14:03:39.508806,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,14:03:39.509978,14:03:41.807362,1,1.0
4,14:03:39.509978,14:03:42.106275,1,1.0
4,14:03:39.509978,14:03:42.402507,1,1.0
4,14:03:39.509978,14:03:43.005807,-1,1.0
4,14:03:39.509978,14:03:43.305477,-1,1.0
4,14:03:39.509978,14:03:43.603784,-1,1.0
4,14:03:39.509978,14:03:45.903546,1,1.0
4,14:03:39.509978,14:03:46.204364,1,1.0
4,14:03:39.509978,14:03:46.504255,1,1.0
4,14:03:39.509978,14:03:46.804102,1,1.0
4,14:03:39.509978,14:03:47.100334,1,1.0
4,14:03:39.509978,14:03:47.405042,1,1.0
4,14:03:39.509978,14:03:47.702430,1,1.0
4,14:03:39.509978,14:03:48.002229,1,1.0
4,14:03:39.509978,14:03:48.302389,1,1.0
4,14:03:39.509978,14:03:48.598450,1,1.0
4,14:03:39.509978,14:03:48.905554,1,1.0
4,14:03:39.509978,14:03:49.204130,1,1.0
4,14:03:39.509978,14:03:49.502513,1,1.0
4,14:03:39.509978,14:03:49.804540,1,1.0
4,14:03:39.509978,14:03:50.098961,1,1.0
4,14:03:39.509978,14:03:50.398954,1,1.0
4,14:03:39.509978,14:03:50.704065,1,1.0
4,14:03:39.509978,14:03:51.002844,1,1.0
4,14:03:39.509978,14:03:51.303350,1,1.0
4,14:03:39.509978,14:03:51.603765,-1,1.0
4,14:03:39.509978,14:03:51.901888,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,14:03:51.903047,14:03:52.202249,-1,1.0
5,14:03:51.903047,14:03:52.500616,-1,1.0
5,14:03:51.903047,14:03:52.799690,1,1.0
5,14:03:51.903047,14:03:53.102829,1,1.0
5,14:03:51.903047,14:03:53.401611,1,1.0
5,14:03:51.903047,14:03:53.701108,-1,1.0
5,14:03:51.903047,14:03:56.002842,1,1.0
5,14:03:51.903047,14:03:56.301031,1,1.0
5,14:03:51.903047,14:03:56.599492,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,14:03:56.600994,14:03:58.898531,1,1.0
6,14:03:56.600994,14:03:59.198214,1,1.0
6,14:03:56.600994,14:03:59.495536,1,1.0
6,14:03:56.600994,14:03:59.800656,1,1.0
6,14:03:56.600994,14:04:00.098666,-1,1.0
6,14:03:56.600994,14:04:00.395861,-1,1.0
6,14:03:56.600994,14:04:02.696521,1,1.0
6,14:03:56.600994,14:04:02.993820,1,1.0
6,14:03:56.600994,14:04:03.298948,1,1.0
6,14:03:56.600994,14:04:03.597597,1,1.0
6,14:03:56.600994,14:04:03.897228,1,1.0
6,14:03:56.600994,14:04:04.193888,1,1.0
6,14:03:56.600994,14:04:04.498253,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,14:04:04.499730,14:04:06.829343,1,1.0
7,14:04:04.499730,14:04:07.128642,1,1.0
7,14:04:04.499730,14:04:07.426200,1,1.0
7,14:04:04.499730,14:04:07.730625,1,1.0
7,14:04:04.499730,14:04:08.028625,1,1.0
7,14:04:04.499730,14:04:10.329976,1,1.0
7,14:04:04.499730,14:04:10.628489,1,1.0
7,14:04:04.499730,14:04:10.927780,1,1.0
7,14:04:04.499730,14:04:11.225949,1,1.0
7,14:04:04.499730,14:04:11.529690,1,1.0
7,14:04:04.499730,14:04:11.828782,1,1.0
7,14:04:04.499730,14:04:12.125458,1,1.0
7,14:04:04.499730,14:04:12.429210,1,1.0
7,14:04:04.499730,14:04:12.727262,1,1.0
7,14:04:04.499730,14:04:13.024330,1,1.0
7,14:04:04.499730,14:04:13.329101,1,1.0
7,14:04:04.499730,14:04:13.626522,1,1.0
7,14:04:04.499730,14:04:13.925213,1,1.0
7,14:04:04.499730,14:04:14.224104,1,1.0
7,14:04:04.499730,14:04:16.522998,1,1.0
7,14:04:04.499730,14:04:16.826437,1,1.0
7,14:04:04.499730,14:04:17.125356,1,1.0
7,14:04:04.499730,14:04:17.423921,1,1.0
7,14:04:04.499730,14:04:17.721103,1,1.0
7,14:04:04.499730,14:04:18.025951,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,14:04:18.027174,14:04:20.325911,1,1.0
8,14:04:18.027174,14:04:20.623978,1,1.0
8,14:04:18.027174,14:04:20.922104,1,1.0
8,14:04:18.027174,14:04:21.221572,1,1.0
8,14:04:18.027174,14:04:21.520392,1,1.0
8,14:04:18.027174,14:04:23.822879,1,1.0
8,14:04:18.027174,14:04:24.121119,1,1.0
8,14:04:18.027174,14:04:24.419544,1,1.0
8,14:04:18.027174,14:04:24.723989,1,1.0
8,14:04:18.027174,14:04:25.023143,1,1.0
8,14:04:18.027174,14:04:25.322640,1,1.0
8,14:04:18.027174,14:04:25.621468,1,1.0
8,14:04:18.027174,14:04:25.920152,1,1.0
8,14:04:18.027174,14:04:26.219639,1,1.0
8,14:04:18.027174,14:04:26.520643,1,1.0
8,14:04:18.027174,14:04:26.820119,1,1.0
8,14:04:18.027174,14:04:27.121151,1,1.0
8,14:04:18.027174,14:04:27.418649,1,1.0
8,14:04:18.027174,14:04:29.721629,1,1.0
8,14:04:18.027174,14:04:30.019870,1,1.0
8,14:04:18.027174,14:04:30.320165,1,1.0
8,14:04:18.027174,14:04:30.619564,1,1.0
8,14:04:18.027174,14:04:30.919482,1,1.0
8,14:04:18.027174,14:04:31.219518,1,1.0
8,14:04:18.027174,14:04:31.520252,1,1.0
8,14:04:18.027174,14:04:31.820621,1,1.0
8,14:04:18.027174,14:04:32.116962,1,1.0
8,14:04:18.027174,14:04:32.420441,1,1.0
8,14:04:18.027174,14:04:32.719267,1,1.0
8,14:04:18.027174,14:04:33.017720,1,1.0
8,14:04:18.027174,14:04:33.320647,1,1.0
8,14:04:18.027174,14:04:33.619249,1,1.0
8,14:04:18.027174,14:04:33.917298,1,1.0
8,14:04:18.027174,14:04:34.215061,1,1.0
8,14:04:18.027174,14:04:34.519002,1,1.0
8,14:04:18.027174,14:04:36.815960,1,1.0
8,14:04:18.027174,14:04:37.113953,1,1.0
8,14:04:18.027174,14:04:37.418057,1,1.0
8,14:04:18.027174,14:04:37.716243,1,1.0
8,14:04:18.027174,14:04:38.015487,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,14:04:38.017347,14:04:38.317532,1,1.0
9,14:04:38.017347,14:04:38.616931,1,1.0
9,14:04:38.017347,14:04:38.916114,1,1.0
9,14:04:38.017347,14:04:39.212901,1,1.0
9,14:04:38.017347,14:04:41.516587,1,1.0
9,14:04:38.017347,14:04:41.816620,1,1.0
9,14:04:38.017347,14:04:42.113491,1,1.0
9,14:04:38.017347,14:04:42.410936,1,1.0
9,14:04:38.017347,14:04:42.716602,1,1.0
9,14:04:38.017347,14:04:43.015064,1,1.0
9,14:04:38.017347,14:04:43.312826,1,1.0
9,14:04:38.017347,14:04:43.612604,1,1.0
9,14:04:38.017347,14:04:43.914779,1,1.0
9,14:04:38.017347,14:04:44.213349,1,1.0
9,14:04:38.017347,14:04:46.513790,1,1.0
9,14:04:38.017347,14:04:46.812154,1,1.0
9,14:04:38.017347,14:04:47.115692,1,1.0
9,14:04:38.017347,14:04:47.412304,1,1.0
9,14:04:38.017347,14:04:47.710932,1,1.0
9,14:04:38.017347,14:04:48.014055,1,1.0
9,14:04:38.017347,14:04:48.313596,1,1.0
9,14:04:38.017347,14:04:48.611105,1,1.0
9,14:04:38.017347,14:04:48.914372,1,1.0
9,14:04:38.017347,14:04:49.213334,1,1.0
9,14:04:38.017347,14:04:49.511122,1,1.0
9,14:04:38.017347,14:04:49.810190,1,1.0
9,14:04:38.017347,14:04:50.113299,1,1.0
9,14:04:38.017347,14:04:50.411775,1,1.0
9,14:04:38.017347,14:04:50.710686,1,1.0
9,14:04:38.017347,14:04:51.010171,1,1.0
9,14:04:38.017347,14:04:51.312961,1,1.0
9,14:04:38.017347,14:04:53.610099,1,1.0
9,14:04:38.017347,14:04:53.908854,1,1.0
9,14:04:38.017347,14:04:54.208310,1,1.0
9,14:04:38.017347,14:04:54.511904,1,1.0
9,14:04:38.017347,14:04:54.809640,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
